Name,ingredients,costs,sale or no,total
Broccoli Cheddar Soup ,3 Tbsp. butter,3.49,,30.04
Broccoli Cheddar Soup ,"1 small onion, chopped",0.64,,
Broccoli Cheddar Soup ,3 Tbsp. all-purpose flour,5.99,,
Broccoli Cheddar Soup ,2 cups whole milk,2.99,sale,
Broccoli Cheddar Soup ,2 cups vegetable broth,1.29,sale,
Broccoli Cheddar Soup ,1-2 pounds fresh broccoli florets,4.98,,
Broccoli Cheddar Soup ,1 cup diced carrots,2.49,,
Broccoli Cheddar Soup ,1 tsp  salt,1.19,,
Broccoli Cheddar Soup ,1 tsp ground black pepper,3.49,,
Broccoli Cheddar Soup ,2 cups shredded cheddar cheese ,3.49,sale,
,,,,
Savory Broccoli Pancakes,1 cup broccoli florets ,2.49,,30.68
Savory Broccoli Pancakes,1 clove garlic ,2.19,,
Savory Broccoli Pancakes,1 shallot ,0.99,sale,
Savory Broccoli Pancakes,1 cup all-purpose flour,5.99,,
Savory Broccoli Pancakes,1 teaspoon baking powder,1.29,,
Savory Broccoli Pancakes,1/2 cup milk ,2.99,sale,
Savory Broccoli Pancakes,1 egg,2.79,,
Savory Broccoli Pancakes,1 tablespoon parsley ,1.29,,
Savory Broccoli Pancakes,5 fresh chives,2.49,,
Savory Broccoli Pancakes,1/2 teaspoon salt ,1.19,,
Savory Broccoli Pancakes,1/8 teaspoon black pepper,3.49,,
Savory Broccoli Pancakes,"Butter, for griddle or pan",3.49,,
,,,,
Broccoli salad,5-6 cups broccoli florets,12.45,,43.34
Broccoli salad,1 cup cheddar cheese ,3.49,sale,
Broccoli salad,2/3 cup dried cranberries ,4.99,,
Broccoli salad,1/2 cup crumbled bacon,4.59,sale,
Broccoli salad,1/2 cup salted sunflower seeds ,3.39,,
Broccoli salad,1/3 cup red onion,1.29,,
Broccoli salad,Dressing,0,,
Broccoli salad,3/4 cup mayo ,2.99,,
Broccoli salad,1/4 cup sour cream,1.79,,
Broccoli salad,1 1/2 Tablespoon white wine vinegar,1.19,,
Broccoli salad,3 Tablespoons sugar ,2.49,,
Broccoli salad,1/4 teaspoon salt,1.19,,
Broccoli salad,1/4 teaspoon pepper,3.49,,
,,,,
Chicken with Mango Cucumber Salsa,2 tablespoons lemon juice,2.59,,44.16
Chicken with Mango Cucumber Salsa,1 tablespoon lime juice,2.5,sale,
Chicken with Mango Cucumber Salsa,2 teaspoons minced fresh parsley,1.29,,
Chicken with Mango Cucumber Salsa,1/4 teaspoon ground cumin,2.99,,
Chicken with Mango Cucumber Salsa,1/4 teaspoon salt,1.19,,
Chicken with Mango Cucumber Salsa,1/8 teaspoon pepper,3.49,,
Chicken with Mango Cucumber Salsa,"1 medium cucumber, diced",0.79,,
Chicken with Mango Cucumber Salsa,"1 medium mango, peeled and diced",1.5,,
Chicken with Mango Cucumber Salsa,"1 medium tomato, chopped",2.25,,
